0	2	185	405	41	0	17	0	0
1	2	1365	405	41	0	17	0	0
2	1	734	405	41	0	17	0	0
3	2	258	405	41	0	17	0	0
4	1	1640	405	41	0	17	0	0
5	2	1736	405	41	0	17	0	0
6	1	1324	405	41	0	17	0	0
7	2	346	405	41	0	17	0	0
8	1	1676	405	41	0	17	0	0
9	1	450	405	41	0	17	0	0
10	2	1831	196	16	3	17	0	34
11	1	1154	405	41	0	17	0	0
12	2	798	405	41	0	17	0	0
13	1	1425	405	41	0	17	0	0
14	1	1801	405	41	0	17	0	0
15	1	1099	405	41	0	17	0	0
16	2	789	405	41	0	17	0	0
17	2	1586	405	41	0	17	0	0
18	1	481	405	41	0	17	0	0
19	2	1727	405	41	0	17	0	0
20	2	796	405	41	0	17	0	0
21	0	0	405	41	0	17	0	0
22	2	1130	405	41	0	17	0	0
23	2	1669	405	41	0	17	0	0
24	2	748	405	41	0	17	0	0
25	2	1599	81	16	9	17	18	45
26	2	269	405	41	0	17	0	0
27	1	82	405	41	0	17	0	0
28	1	1300	405	41	0	17	0	0
29	1	1386	167	37	6	17	46	56
30	1	1609	121	10	5	17	7	51
31	2	1317	405	41	0	17	0	0
32	2	5	405	41	0	17	0	0
33	2	1074	147	38	16	17	28	28
34	2	1193	243	38	9	17	25	34
35	2	663	172	37	14	18	48	27
36	2	821	304	0	15	17	23	22
37	2	993	76	38	8	17	25	20
38	2	888	61	37	13	17	38	62
39	2	1262	408	38	14	18	51	32
40	1	1384	56	38	10	18	38	19
41	2	1070	438	38	15	18	16	28
42	2	1810	112	11	11	17	14	39
43	2	1368	176	38	14	17	61	27
44	2	939	232	38	11	17	32	20
45	2	1239	238	34	10	18	36	41
46	1	1166	90	23	4	17	58	35
47	1	1822	405	41	0	17	0	0
48	1	761	405	41	0	17	0	0
49	1	381	405	41	0	17	0	0
50	2	425	15	19	14	17	15	9
51	2	1258	384	38	9	18	71	39
52	2	932	116	38	14	17	16	14
53	1	766	405	41	0	17	0	0
54	2	752	405	41	0	17	0	0
55	2	1214	241	38	10	17	0	36
